,time_seconds,Accelaration in G Frontal,Accelaration in G Vertical,Accelaration in G Lateral,ID Antenna Sensor,RSSI,Phase,Frequency,Activity
31,13.25,0.025796,0.2733,-1.0856,3,-66.0,0.82682,925.25,3
32,13.5,0.060972,0.26182,-1.0628,3,-66.5,3.7736,925.75,3
33,13.75,0.060972,0.26182,-1.0628,2,-55.5,0.85289,924.75,3
34,14.5,-0.0093803,0.2733,-1.0742,2,-52.5,2.1338,921.25,3
35,14.75,-0.0093803,0.2733,-1.0742,2,-52.0,2.327,920.75,3
36,15.5,0.084423,0.26182,-1.0628,3,-66.0,3.996,925.25,3
37,15.75,0.084423,0.26182,-1.0628,3,-62.0,0.041417,920.25,3
38,16.75,0.060972,0.2733,-1.0742,3,-64.5,1.5662,923.75,3
39,17.0,0.060972,0.2733,-1.0742,3,-63.0,2.7336,921.25,3
40,17.25,0.1665,0.21588,-1.0172,3,-63.0,2.5188,921.75,3
41,17.5,-0.0093803,0.2733,-1.097,3,-63.5,2.3117,922.25,3
42,18.0,0.22513,0.16995,-0.99434,3,-62.0,0.041417,920.25,3
43,18.75,0.037521,0.26182,-1.0742,2,-53.0,1.623,922.75,3
44,19.25,0.096148,0.2733,-1.0628,3,-63.0,5.9135,921.25,3
45,19.5,0.096148,0.2733,-1.0628,2,-52.0,2.327,920.75,3
46,19.75,0.1196,0.23885,-1.0514,3,-63.0,2.5418,921.75,3
47,20.0,0.1196,0.23885,-1.0514,2,-53.5,1.7349,922.25,3
48,20.25,0.18995,0.19292,-1.0172,3,-66.0,0.8667,925.25,3
49,20.5,0.18995,0.19292,-1.0172,3,-62.0,0.072097,920.25,3
50,21.25,0.096148,0.21588,-1.0628,3,-63.0,2.1353,922.75,3
51,21.75,0.0023451,0.25033,-1.097,3,-63.0,5.9058,921.25,3
52,22.0,0.0023451,0.25033,-1.097,2,-51.5,2.3501,920.75,3
53,22.5,0.014071,0.2733,-1.0742,3,-63.5,1.8484,923.25,3
54,22.75,0.014071,0.2733,-1.0742,3,-65.5,4.0543,925.25,3
55,23.25,0.1196,0.25033,-1.04,3,-66.0,3.7659,925.75,3
56,23.5,0.1196,0.25033,-1.04,3,-64.5,1.3959,924.25,3
57,23.75,0.1196,0.25033,-1.04,3,-63.0,5.2585,922.75,3
58,24.25,0.10787,0.22737,-1.0742,3,-63.0,5.9396,921.25,3
59,24.5,0.025796,0.26182,-1.0856,2,-51.5,2.3669,920.75,3
60,24.75,0.0023451,0.26182,-1.1084,2,-52.5,1.9497,921.75,3
61,25.0,0.29548,0.1355,-0.99434,3,-64.0,4.9977,923.25,3
62,25.25,0.29548,0.1355,-0.99434,3,-65.5,4.0344,925.25,3
63,25.5,0.29548,0.1355,-0.99434,2,-50.5,2.5924,920.25,3
64,25.75,0.014071,0.2733,-1.097,3,-66.0,3.7889,925.75,3
65,26.0,0.014071,0.2733,-1.097,3,-65.0,1.1367,924.75,3
66,26.25,0.014071,0.2733,-1.097,2,-53.0,1.6045,922.75,3
67,26.5,0.037521,0.25033,-1.0856,3,-63.5,1.669,923.75,3
68,26.75,0.072698,0.25033,-1.0856,2,-51.5,2.1752,921.25,3
69,26.825,0.072698,0.25033,-1.0856,2,-51.0,2.393,920.75,3
70,27.0,0.014071,0.26182,-1.0856,3,-62.0,6.1651,920.75,3
71,27.5,0.072698,0.26182,-1.0742,3,-63.5,1.9067,923.25,3
72,27.75,0.072698,0.26182,-1.0742,3,-61.5,0.056757,920.25,3
73,28.5,0.084423,0.25033,-1.0742,2,-53.0,1.5923,922.75,3
74,28.75,0.24858,0.16995,-1.0057,3,-63.5,1.6736,923.75,3
75,29.0,0.24858,0.16995,-1.0057,2,-51.5,2.1813,921.25,3
76,29.25,0.0023451,0.26182,-1.1084,2,-51.5,2.1875,921.25,3
77,29.325,0.0023451,0.26182,-1.1084,2,-51.0,2.3807,920.75,3
78,29.35,0.025796,0.26182,-1.0856,2,-51.0,2.3777,920.75,3
79,29.5,0.025796,0.25033,-1.0856,2,-52.0,1.9482,921.75,3
80,30.0,0.30721,0.14698,-0.98294,3,-63.5,1.8822,923.25,3
81,30.25,0.30721,0.14698,-0.98294,2,-51.0,2.5648,920.25,3
82,30.5,0.060972,0.2733,-1.0856,3,-66.0,3.7828,925.75,3
83,30.75,0.060972,0.2733,-1.0856,3,-64.0,4.5314,924.25,3
84,31.0,0.060972,0.2733,-1.0856,3,-63.0,2.1138,922.75,3
85,31.25,0.060972,0.2733,-1.0856,3,-63.0,2.1368,922.75,3
86,31.5,0.014071,0.25033,-1.0856,2,-51.5,2.2028,921.25,3
87,31.75,0.22513,0.15847,-1.0172,3,-62.5,6.1589,920.75,3
88,32.0,0.22513,0.15847,-1.0172,3,-63.0,5.4809,922.25,3
89,32.5,0.096148,0.26182,-1.0742,3,-65.5,0.89738,925.25,3
90,32.75,0.096148,0.26182,-1.0742,2,-51.0,2.5617,920.25,3
91,33.5,0.1665,0.23885,-1.04,3,-65.0,1.1275,924.75,3
92,34.0,0.1665,0.23885,-1.04,2,-51.5,2.1783,921.25,3
93,34.25,0.1196,0.22737,-1.0628,2,-51.0,2.3961,920.75,3
94,34.5,0.23685,0.16995,-1.0057,2,-52.0,1.9957,921.75,3
95,35.0,0.30721,0.14698,-0.98294,2,-50.5,2.5694,920.25,3
96,35.25,0.049247,0.26182,-1.0856,3,-62.0,0.056757,920.25,3
97,35.75,0.060972,0.26182,-1.0856,3,-64.5,4.2921,924.75,3
98,36.0,0.060972,0.26182,-1.0856,2,-53.0,1.5815,922.75,3
99,36.25,0.037521,0.26182,-1.0856,2,-51.5,2.1522,921.25,3
100,36.5,0.23685,0.18143,-1.0172,3,-62.0,6.1605,920.75,3
101,36.75,0.025796,0.26182,-1.0856,2,-52.0,1.9788,921.75,3
102,37.0,0.30721,0.1355,-0.99434,3,-63.5,1.9159,923.25,3
103,37.5,0.1196,0.25033,-1.0628,2,-50.0,2.6753,920.25,3
104,38.0,0.14305,0.21588,-1.0514,3,-66.0,0.67955,925.75,3
105,38.25,0.14305,0.21588,-1.0514,3,-64.5,4.2982,924.75,3
106,38.5,0.22513,0.2044,-1.0172,3,-63.5,1.6429,923.75,3
107,38.75,0.22513,0.2044,-1.0172,3,-63.0,5.9058,921.25,3
108,39.0,0.014071,0.26182,-1.0856,3,-62.0,6.1344,920.75,3
109,39.25,0.014071,0.26182,-1.0856,3,-63.0,5.6803,921.75,3
110,39.5,0.014071,0.26182,-1.0856,3,-63.0,5.4732,922.25,3
111,39.75,0.049247,0.26182,-1.0856,3,-65.5,0.90045,925.25,3
112,40.25,0.049247,0.26182,-1.0856,3,-66.0,0.68876,925.75,3
113,40.75,0.13132,0.2044,-1.0514,2,-53.0,1.5969,922.75,3
114,41.0,0.049247,0.23885,-1.0856,3,-63.5,1.6674,923.75,3
115,41.25,0.29548,0.1355,-0.99434,2,-51.0,2.3777,920.75,3
116,41.5,0.29548,0.1355,-0.99434,3,-62.0,6.1697,920.75,3
117,41.75,0.037521,0.26182,-1.0856,2,-52.0,1.9466,921.75,3
118,42.25,0.29548,0.15847,-0.99434,3,-63.5,5.0161,923.25,3
119,42.5,0.20168,0.2044,-1.04,2,-50.5,2.6078,920.25,3
120,43.0,0.18995,0.22737,-1.04,2,-54.0,1.0707,924.25,3
121,43.25,0.18995,0.22737,-1.04,2,-52.5,1.6183,922.75,3
122,43.75,0.27203,0.15847,-1.0057,3,-62.5,5.9472,921.25,3
123,44.0,0.025796,0.23885,-1.097,3,-62.0,6.1344,920.75,3
124,44.075,0.025796,0.23885,-1.097,3,-62.5,5.6773,921.75,3
125,44.75,0.049247,0.26182,-1.097,2,-50.0,2.6507,920.25,3
126,45.0,0.025796,0.25033,-1.0856,3,-61.5,0.27612,920.25,3
127,45.75,0.35411,0.10105,-0.99434,2,-52.5,1.6506,922.75,3
128,46.0,0.10787,0.23885,-1.0856,3,-63.0,1.7748,923.75,3
129,46.25,0.18995,0.18143,-1.04,2,-50.5,2.2611,921.25,3
130,46.5,0.025796,0.21588,-1.1084,3,-62.5,5.8399,921.75,3
131,46.75,0.025796,0.21588,-1.1084,2,-52.0,1.7978,922.25,3
132,47.25,0.34238,0.1355,-0.97154,2,-50.0,2.6354,920.25,3
133,48.0,0.31893,0.14698,-0.98294,3,-64.0,1.2471,924.75,3
134,48.25,0.31893,0.14698,-0.98294,3,-62.5,2.2488,922.75,3
135,48.5,0.31893,0.14698,-0.98294,2,-51.0,2.2089,921.25,3
136,48.75,0.049247,0.22737,-1.097,3,-61.5,0.050621,920.75,3
137,49.0,0.049247,0.22737,-1.097,2,-51.5,2.0279,921.75,3
138,49.25,0.060972,0.23885,-1.0742,3,-62.5,5.6481,922.25,3
139,49.5,0.025796,0.23885,-1.097,3,-62.5,2.0049,923.25,3
140,49.75,0.025796,0.23885,-1.097,3,-61.5,0.25617,920.25,3
141,50.0,0.025796,0.23885,-1.1084,3,-65.0,3.9055,925.75,3
142,50.25,0.025796,0.23885,-1.1084,3,-64.5,1.2609,924.75,3
143,50.5,0.025796,0.23885,-1.1084,3,-62.5,2.2258,922.75,3
144,51.0,0.27203,0.15847,-1.0057,2,-51.5,2.1752,921.25,3
145,51.25,0.025796,0.23885,-1.1084,3,-61.5,0.053689,920.75,3
146,51.5,0.025796,0.23885,-1.1084,2,-52.0,1.9758,921.75,3
147,51.75,0.31893,0.1355,-0.97154,3,-63.0,5.1419,923.25,3
148,52.25,0.096148,0.26182,-1.0742,2,-50.0,2.643,920.25,3
149,52.75,0.15478,0.21588,-1.0628,3,-63.5,1.5048,924.25,3
150,53.25,0.072698,0.25033,-1.0742,3,-63.0,1.7595,923.75,3
151,53.5,0.096148,0.25033,-1.0742,2,-51.5,2.1752,921.25,3
152,53.75,0.27203,0.14698,-1.0172,3,-62.0,0.013806,920.75,3
153,54.0,0.27203,0.14698,-1.0172,3,-62.5,5.622,922.25,3
154,54.5,0.1665,0.21588,-1.0628,3,-61.0,0.30526,920.25,3
155,54.75,0.1665,0.21588,-1.0628,3,-61.0,0.3114,920.25,3
156,55.25,0.22513,0.16995,-1.0286,3,-64.0,1.2548,924.75,3
157,55.5,0.22513,0.16995,-1.0286,2,-53.0,1.5846,922.75,3
158,55.75,0.15478,0.23885,-1.0628,3,-62.0,6.0592,921.25,3
159,56.0,0.15478,0.23885,-1.0628,2,-51.5,2.1552,921.25,3
160,56.25,0.072698,0.23885,-1.097,2,-52.0,1.965,921.75,3
161,56.5,0.40101,0.089569,-0.97154,3,-62.5,2.5035,922.25,3
162,57.0,0.17823,0.19292,-1.04,3,-61.5,0.3114,920.25,3
163,57.25,0.17823,0.19292,-1.04,2,-49.5,2.7136,920.25,3
164,57.5,0.14305,0.2044,-1.0742,3,-63.5,1.5263,924.25,3
165,58.0,0.28376,0.15847,-1.0057,3,-63.0,1.7472,923.75,3
166,58.25,0.28376,0.15847,-1.0057,2,-51.5,2.1752,921.25,3
167,58.5,0.2603,0.16995,-0.99434,2,-51.0,2.3853,920.75,3
168,58.75,0.084423,0.25033,-1.0742,3,-62.0,5.8414,921.75,3
169,59.5,0.1196,0.25033,-1.0742,3,-61.5,0.29146,920.25,3
170,60.25,0.084423,0.22737,-1.0856,3,-62.5,2.2795,922.75,3
171,60.5,0.084423,0.22737,-1.0856,3,-63.0,1.7932,923.75,3
172,60.75,0.084423,0.22737,-1.0856,3,-62.0,6.1344,921.25,3
173,61.0,0.037521,0.21588,-1.097,3,-61.5,0.088971,920.75,3
174,61.25,0.037521,0.21588,-1.097,3,-62.0,5.8813,921.75,3
175,61.75,0.1196,0.23885,-1.097,3,-65.0,1.0002,925.25,3
176,62.0,0.1196,0.23885,-1.097,2,-50.5,2.6308,920.25,3
177,62.25,0.037521,0.25033,-1.0856,3,-65.0,3.9101,925.75,3
178,62.5,0.037521,0.25033,-1.0856,3,-63.5,1.511,924.25,3
179,62.75,0.037521,0.25033,-1.0856,3,-62.5,2.2319,922.75,3
180,63.025,0.34238,0.12402,-0.97154,3,-62.0,6.1068,921.25,3
181,63.25,0.34238,0.12402,-0.97154,2,-51.5,2.1875,921.25,3
182,63.75,0.049247,0.25033,-1.0856,3,-62.5,2.5019,922.25,3
183,64.0,0.049247,0.23885,-1.097,3,-64.5,1.0416,925.25,3
184,64.25,0.049247,0.23885,-1.097,3,-61.5,0.28225,920.25,3
185,64.5,0.049247,0.23885,-1.097,2,-50.0,2.6783,920.25,3
186,65.0,0.41273,0.10105,-0.96014,3,-64.0,1.1996,924.75,3
187,65.25,0.037521,0.26182,-1.0856,3,-63.0,5.3429,922.75,3
188,65.5,0.037521,0.26182,-1.0856,2,-51.5,2.1414,921.25,3
189,65.75,0.18995,0.2044,-1.04,3,-62.0,6.1052,921.25,3
190,66.0,0.084423,0.25033,-1.0742,2,-52.5,1.9681,921.75,3
191,66.25,0.084423,0.25033,-1.0742,2,-52.5,1.8254,922.25,3
192,66.75,0.17823,0.2044,-1.04,2,-50.0,2.732,920.25,3
193,67.5,0.096148,0.23885,-1.0742,3,-63.5,1.2916,924.75,3
194,67.75,0.096148,0.23885,-1.0742,3,-63.0,1.7794,923.75,3
195,68.0,0.096148,0.23885,-1.0742,2,-51.5,2.2289,921.25,3
196,68.5,0.084423,0.23885,-1.097,2,-52.0,1.9911,921.75,3
197,68.75,0.17823,0.19292,-1.0514,3,-61.5,5.7555,922.25,3
198,69.25,0.20168,0.15847,-1.0514,2,-46.5,0.12732,920.25,3
199,69.5,0.1665,0.11254,-1.097,3,-64.0,1.3192,925.75,3
200,69.75,0.18995,0.14698,-1.0514,3,-62.0,1.8669,924.75,3
201,70.0,0.18995,0.14698,-1.0514,3,-61.0,0.049087,922.75,3
202,70.25,0.14305,0.19292,-1.097,3,-61.0,2.5418,923.75,3
203,70.5,0.31893,0.10105,-0.99434,2,-47.5,2.7642,921.25,3
204,70.575,0.20168,0.1355,-1.0742,2,-48.0,2.775,921.25,3
205,70.6,0.20168,0.1355,-1.0742,2,-47.5,3.0634,920.75,3
206,70.65,0.20168,0.1355,-1.0742,2,-47.5,6.1881,920.75,3
207,70.75,0.2603,0.14698,-1.0742,2,-48.0,2.9775,920.75,3
208,71.0,0.1196,0.18143,-1.0742,3,-60.0,0.092039,922.25,3
209,71.25,0.1196,0.18143,-1.0742,3,-60.5,5.8199,923.25,3
210,71.5,0.17823,0.19292,-1.097,3,-61.5,1.6368,925.25,3
211,71.75,0.17823,0.19292,-1.097,2,-47.5,0.11965,920.25,3
212,71.825,0.14305,0.18143,-1.0856,3,-62.5,1.3698,925.75,3
213,72.25,0.34238,0.12402,-1.0286,2,-53.0,1.1152,924.75,3
214,72.5,0.15478,0.18143,-1.0856,2,-50.0,1.9543,922.75,3
215,73.0,0.34238,0.10105,-1.0057,3,-60.0,0.6274,921.25,3
216,73.075,0.15478,0.19292,-1.0856,2,-48.5,6.0838,920.75,3
217,73.25,0.15478,0.18143,-1.097,2,-49.0,2.4145,921.75,3
218,73.5,0.24858,0.19292,-1.0628,3,-60.5,0.092039,922.25,3
219,73.75,0.14305,0.18143,-1.0856,3,-60.5,5.8107,923.25,3
220,74.0,0.14305,0.18143,-1.0856,3,-62.0,1.6444,925.25,3
221,74.25,0.31893,0.12402,-1.0286,2,-53.5,0.75318,925.75,3
222,74.5,0.31893,0.12402,-1.0286,2,-52.0,1.3284,924.25,3
223,74.75,0.1665,0.18143,-1.0856,3,-62.0,1.8776,924.75,3
224,75.0,0.20168,0.18143,-1.0742,2,-50.0,1.9129,922.75,3
225,75.25,0.29548,0.14698,-1.0286,3,-61.0,5.484,923.75,3
226,75.5,0.29548,0.14698,-1.0286,2,-48.5,2.6461,921.25,3
227,75.575,0.29548,0.14698,-1.0286,2,-47.5,2.9437,920.75,3
228,75.6,0.15478,0.19292,-1.097,2,-47.5,2.9422,920.75,3
229,75.65,0.15478,0.16995,-1.0856,3,-60.0,0.77159,920.75,3
230,75.75,0.15478,0.16995,-1.0856,3,-61.0,0.26538,921.75,3
231,76.0,0.15478,0.16995,-1.0856,2,-49.5,2.1522,922.25,3
232,76.25,0.14305,0.18143,-1.097,2,-50.5,1.7043,923.25,3
233,76.5,0.13132,0.19292,-1.0856,3,-59.5,1.0247,920.25,3
234,76.75,0.13132,0.19292,-1.0856,3,-63.0,1.3162,925.75,3
235,77.0,0.14305,0.19292,-1.0856,3,-61.0,2.0893,924.25,3
236,77.25,0.40101,0.089569,-0.99434,3,-61.0,5.9089,922.75,3
237,77.5,0.40101,0.089569,-0.99434,3,-61.5,2.2688,923.75,3
238,77.75,0.40101,0.089569,-0.99434,2,-48.5,2.6891,921.25,3
239,77.825,0.15478,0.18143,-1.1084,1,-69.5,5.8261,921.25,3
240,78.0,0.15478,0.18143,-1.1084,1,-70.0,0.084369,920.75,3
241,78.25,0.15478,0.18143,-1.1084,2,-48.0,2.9161,921.75,3
242,78.325,0.28376,0.089569,-1.0286,2,-49.0,2.6446,922.25,3
243,78.5,0.28376,0.089569,-1.0286,2,-48.5,2.6553,922.25,3
244,78.75,0.23685,0.089569,-1.0628,3,-60.0,1.7104,925.25,3
245,79.0,0.23685,0.089569,-1.0628,2,-47.0,3.5665,920.25,3
246,79.25,0.43619,0.043636,-0.99434,3,-59.5,5.326,924.25,3
247,79.75,0.48309,0.02067,-0.97154,2,-50.5,2.0893,922.75,3
248,80.0,0.34238,0.066602,-1.04,3,-59.5,5.3919,923.75,3
249,80.25,0.36583,0.089569,-1.0057,2,-48.5,2.7182,921.25,3
250,80.75,0.049247,0.43406,-1.0856,2,-49.0,2.5295,921.75,3
251,81.0,0.072698,0.2044,-1.2908,2,-53.5,1.557,923.25,3
252,83.0,0.47136,0.74411,-0.4584,2,-63.5,0.99555,921.75,1
253,83.75,0.67069,0.73263,-0.0022806,1,-63.0,1.0109,920.25,1
254,84.0,0.67069,0.73263,-0.0022806,3,-61.0,4.8412,925.75,1
255,84.25,0.67069,0.73263,-0.0022806,1,-69.0,0.67802,924.25,1
256,85.25,0.65897,0.38813,-0.0022806,1,-69.5,4.3795,920.75,1
257,87.5,0.51826,0.85894,-0.23034,1,-51.5,1.7825,921.25,4
258,211.75,0.15478,0.23885,-1.1654,3,-63.0,0.35742,921.25,3
259,212.25,-0.021106,0.29627,-1.097,3,-61.0,6.1405,922.25,3
260,212.5,0.29548,0.2044,-1.0514,3,-63.0,1.5478,925.25,3
261,212.75,0.29548,0.2044,-1.0514,2,-52.5,2.594,920.25,3
262,213.25,-0.032831,0.29627,-1.0628,3,-62.5,5.0759,924.25,3
263,213.75,0.24858,0.15847,-0.98294,3,-61.5,2.1859,923.75,3
264,214.0,0.24858,0.15847,-0.98294,3,-60.5,0.36202,921.25,3
265,214.25,0.025796,0.26182,-1.0856,3,-60.5,0.081301,921.75,3
266,214.75,0.27203,0.15847,-0.98294,3,-61.0,6.1267,922.25,3
267,215.25,0.2603,0.16995,-0.98294,2,-51.5,5.6665,920.25,3
268,215.5,0.049247,0.2733,-1.0856,3,-63.0,1.2395,925.75,3
269,215.75,0.049247,0.2733,-1.0856,3,-62.0,1.9589,924.25,3
270,216.25,0.060972,0.2733,-1.0856,3,-61.5,2.1875,923.75,3
271,216.5,0.060972,0.2733,-1.0856,2,-53.0,2.0555,921.25,3
272,216.58,0.060972,0.2733,-1.0856,2,-52.5,2.278,920.75,3
273,216.75,0.0023451,0.28478,-1.0856,3,-60.0,0.61666,920.75,3
274,217.0,0.24858,0.15847,-0.99434,3,-61.0,6.1037,922.25,3
275,217.5,0.23685,0.15847,-0.99434,3,-62.5,1.4726,925.25,3
276,217.75,0.23685,0.15847,-0.99434,2,-51.5,2.5111,920.25,3
277,218.25,0.0023451,0.26182,-1.0856,3,-62.5,1.7073,924.75,3
278,218.5,0.014071,0.2733,-1.0856,3,-61.0,5.8491,922.75,3
279,218.75,0.014071,0.2733,-1.0856,2,-53.0,2.0617,921.25,3
280,219.25,0.2134,0.2044,-1.0172,3,-60.5,0.58905,920.75,3
281,219.5,0.20168,0.18143,-1.0172,3,-61.0,6.1114,922.25,3
282,219.75,0.20168,0.18143,-1.0172,3,-61.0,2.4482,923.25,3
283,220.0,0.20168,0.18143,-1.0172,3,-62.5,1.468,925.25,3
284,221.25,0.060972,0.28478,-1.0742,3,-60.5,0.31293,921.25,3
285,221.5,0.060972,0.28478,-1.0742,2,-53.0,2.2534,920.75,3
286,221.75,0.060972,0.28478,-1.0742,3,-61.0,0.084369,921.75,3
287,222.0,0.060972,0.2733,-1.0742,3,-61.0,6.0945,922.25,3
288,222.5,0.037521,0.26182,-1.0856,3,-62.5,1.4603,925.25,3
289,222.75,0.037521,0.26182,-1.0856,2,-58.0,0.3206,925.75,3
290,223.25,0.20168,0.16995,-1.0057,3,-61.0,5.8337,922.75,3
291,223.75,0.17823,0.21588,-1.0286,2,-53.5,2.0479,921.25,3
292,224.0,0.014071,0.2733,-1.0856,2,-53.0,2.2688,920.75,3
293,224.25,0.014071,0.2733,-1.0856,3,-61.0,0.069029,921.75,3
294,224.5,0.35411,0.14698,-0.96014,3,-61.5,5.5545,923.25,3
295,225.0,0.23685,0.18143,-1.0057,2,-52.0,2.505,920.25,3
296,225.75,0.1196,0.23885,-1.0514,3,-61.0,5.8767,922.75,3
297,226.25,0.22513,0.15847,-0.98294,2,-53.0,2.0647,921.25,3
298,226.5,0.060972,0.2733,-1.0856,2,-53.0,2.2718,920.75,3
299,226.75,0.10787,0.25033,-1.0628,3,-61.5,6.0684,922.25,3
300,227.5,0.1196,0.25033,-1.0628,2,-52.5,2.4758,920.25,3
301,228.0,0.096148,0.26182,-1.0628,3,-62.5,1.6812,924.75,3
302,228.25,0.096148,0.26182,-1.0628,3,-61.0,5.8491,922.75,3
303,228.5,0.096148,0.26182,-1.0628,3,-61.5,2.2028,923.75,3
304,228.75,0.014071,0.26182,-1.0742,2,-52.0,2.2964,920.75,3
305,229.25,0.24858,0.16995,-1.0057,3,-61.0,6.1237,922.25,3
306,229.75,0.0023451,0.2733,-1.0742,2,-52.5,2.4743,920.25,3
307,230.0,0.0023451,0.2733,-1.0856,2,-52.5,2.4666,920.25,3
308,230.5,0.037521,0.28478,-1.0628,3,-63.0,1.7825,924.75,3
309,231.0,0.049247,0.2733,-1.0628,3,-61.0,0.21322,921.25,3
310,231.25,0.049247,0.2733,-1.0628,3,-61.0,0.44792,920.75,3
311,231.75,0.2134,0.14698,-0.99434,3,-61.5,6.0055,922.25,3
312,232.25,0.025796,0.23885,-1.0742,2,-51.5,2.7213,920.25,3
313,233.0,0.072698,0.25033,-1.0628,3,-61.0,5.9227,922.75,3
314,233.25,0.072698,0.25033,-1.0628,3,-62.0,2.2611,923.75,3
315,233.5,0.072698,0.25033,-1.0628,3,-61.0,0.29759,921.25,3
316,233.75,0.15478,0.22737,-1.0286,3,-60.5,0.56757,920.75,3
317,234.0,0.049247,0.2733,-1.0742,3,-61.0,6.0899,922.25,3
318,234.25,0.049247,0.2733,-1.0742,3,-61.0,6.2218,922.25,3
319,234.75,0.24858,0.14698,-1.0057,2,-51.5,2.6384,920.25,3
320,235.5,0.2603,0.1355,-0.99434,2,-53.5,1.534,922.75,3
321,235.75,0.2603,0.1355,-0.99434,3,-61.0,0.23163,921.25,3
322,236.0,0.096148,0.26182,-1.0742,3,-61.0,0.52002,920.75,3
323,236.25,0.096148,0.26182,-1.0742,3,-61.5,0.069029,921.75,3
324,236.5,0.072698,0.26182,-1.0742,3,-61.5,6.0516,922.25,3
325,237.0,0.20168,0.2044,-1.0172,2,-52.0,2.5311,920.25,3
326,237.25,0.20168,0.2044,-1.0172,2,-51.5,2.5265,920.25,3
327,237.75,0.0023451,0.26182,-1.097,3,-62.5,1.7089,924.75,3
328,238.25,0.31893,0.12402,-0.98294,3,-61.5,2.2227,923.75,3
329,238.5,0.31893,0.12402,-0.98294,2,-53.0,2.0785,921.25,3
330,238.75,0.025796,0.2733,-1.0742,2,-52.5,2.2826,920.75,3
331,239.5,0.084423,0.2733,-1.0742,2,-52.0,2.4912,920.25,3
332,239.75,0.14305,0.23885,-1.0514,3,-63.5,1.2349,925.75,3
333,240.25,0.14305,0.23885,-1.0514,3,-62.0,1.7196,924.75,3
334,240.75,0.025796,0.26182,-1.0856,3,-61.5,2.1967,923.75,3
335,241.0,0.2603,0.16995,-0.98294,3,-60.5,0.54763,920.75,3
336,241.25,0.2603,0.16995,-0.98294,3,-61.0,0.041417,921.75,3
337,241.5,0.084423,0.26182,-1.0856,3,-61.0,5.5591,923.25,3
338,242.0,0.084423,0.26182,-1.0856,2,-52.0,2.4835,920.25,3
339,242.5,0.2603,0.16995,-0.98294,3,-62.0,1.9635,924.25,3
340,242.75,0.2603,0.16995,-0.98294,3,-61.0,5.8721,922.75,3
341,243.0,0.2603,0.16995,-0.98294,3,-61.5,2.2197,923.75,3
342,243.25,0.2603,0.16995,-0.98294,3,-60.5,0.37122,921.25,3
343,243.5,0.025796,0.26182,-1.0856,2,-52.5,2.2964,920.75,3
344,243.75,0.025796,0.26182,-1.0856,3,-61.0,0.069029,921.75,3
345,244.5,0.34238,0.1355,-0.96014,2,-52.0,2.5219,920.25,3
346,244.75,0.060972,0.2733,-1.0742,3,-62.0,1.8669,924.25,3
